English term,Chinese term
Concurrent exterior and interior pattern,表里同病
Entering of exterior pattern and exiting of interior pattern,表里出入
Exterior pathogen entering the interior,表邪入里
Interior pathogen moving out to the exterior,里邪出表
Cold enveloping fire,寒包火
True/false of cold and heat,寒热真假
True cold with false heat,真寒假热
True heat with false cold,真热假寒
Cold–heat transformation,寒热转化
Cold pattern transforming into heat,寒证化热
Heat pattern transforming into cold,热证转寒
Cold-heat rejection,寒热格拒
Deficiency and excess,虚实
Pattern differentiation of deficiency and excess,虚实辨证
Pattern differentiation of yin and yang,阴阳辨证
Concurrent patterns,证候相兼
Pattern transformation,证候转化
Pattern differentiation of etiological factors,病因辨证
Pathogenic wind pattern,风淫证
Pathogenic cold pattern,寒淫证
Pathogenic summer heat pattern,暑淫证
Pathogenic dampness pattern,湿淫证
Pathogenic dryness pattern,燥淫证
Pathogenic fire pattern,火淫证
Excessive worry pattern,忧证
Excessive anger pattern,怒证
Excessive thinking pattern,思证
Excessive fear pattern,恐证
Excessive fright pattern,惊证
Excessive joy pattern,喜证
Excessive grief pattern,悲证
"Pattern differentiation of qi, blood and bodily fluids",气血津液辨证
Pattern differentiation of zang–fu organs,脏腑辨证
"Pattern differentiation of Wei-defence, qi, Ying nutrients and blood",卫气营血辨证
Non-sequential transmission,逆传
Pathogenic warmth entering the pericardium,逆传心包证
Pattern involving both the Wei-defence and Ying nutrients,卫营同病
Pattern differentiation of six meridians,六经辨证
Combined disorder,并病
Concurrent meridian pattern,合病
Meridian transmission,传经
Sequential meridian transmission,循经传
Non-sequential meridian transmission,越经传
Paired meridian transmission,表里传
Direct attack to yin meridians,直中
Patterns of the three yang meridians,三阳病证
Patterns of the three yin meridians,三阴病证
Pattern differentiation of the three jiao,三焦辨证
Pattern transmission along the three jiao,三焦传变
Upper jiao pattern,上焦病证
Middle jiao pattern,中焦病证
Lower jiao pattern,下焦病证
Pattern differentiation of meridians,经络辨证
Patterns of the eight extra meridians,奇经八脉病证
Stroke of meridians,中经
Stroke of collaterals,中络
2.4 Patterns,2.4 证候
Patterns according to the eight principles,八纲证类
Yang pattern,阳证
Yin pattern,阴证
Heat pattern,热证
Cold pattern,寒证
Excess pattern,实证
Deficiency pattern,虚证
Exterior pattern,表证
Interior pattern,里证
True cold with false heat pattern,真寒假热证
Combined cold and heat pattern,寒热错杂证
True excess with false deficiency pattern,真实假虚证
Exterior cold with interior heat pattern,表寒里热证
Exterior heat with interior cold pattern,表热里寒证
Exterior-interior excess cold pattern,表里实寒证
Exterior-interior excess heat pattern,表里实热证
Upper excess with lower deficiency pattern,上盛下虚证
Upper heat with lower cold pattern,上热下寒证
Upper cold with lower heat pattern,上寒下热证
Neither exterior nor interior pattern,半表半里证
Exterior-interior excess pattern,表里俱实证
Exterior excess with interior deficiency pattern,表实里虚证
Exterior deficiency with interior excess pattern,表虚里实证
Exterior excess pattern,表实证
Combined deficiency and excess pattern,虚实夹杂证
Patterns related to causative factors,病因证类
Wind attacking the exterior pattern,风邪袭表证
Wind heat exterior pattern,风热表证
Wind heat and dampness pattern,风热夹湿证
Wind dampness transformed heat pattern,风湿化热证
Wind cold transformed heat pattern,风寒化热证
Wind cold exterior pattern,风寒表证
Wind dampness attacking the exterior pattern,风湿袭表证
Wind toxin attacking the exterior pattern,风毒犯表证
Wind toxin pattern,风毒证
Wind dampness accumulating in the skin pattern,风湿蕴肤证
Wind toxin accumulating in the skin pattern,风毒蕴肤证
Excess cold pattern,实寒证
Deficiency cold pattern,虚寒证
Exterior cold pattern,表寒证
Cold induced qi stagnation pattern,寒凝气滞证
Cold induced blood stasis pattern,寒凝血瘀证
Retained cold dampness in the skin pattern,寒湿蕴肤证
Retained excess cold in the chest pattern,寒实结胸证
Summer heat pattern,暑热证
Summer heat and dampness pattern,暑湿证
Summer heat and dampness obstructed spleen pattern,暑湿困脾证
Summer heat and dampness attacking the exterior pattern,暑湿袭表证
Summer heat stirring wind pattern,暑热动风证
Summer heat consuming qi and yin pattern,暑耗气阴证
Dampness affecting spleen yang pattern,湿伤脾阳证
Damp heat pattern,湿热证
Damp heat downflow pattern,湿热下注证
Retained damp heat in the skin pattern,湿热蕴肤证
Damp toxin pattern,湿毒证
Wind dryness attacking the exterior pattern,风燥袭表证
Dryness toxin pattern,燥毒证
Fire toxin pattern,火毒证
Interior heat pattern,里热证
Exterior heat pattern,表热证
Interior heat toxin pattern,热毒内陷证
Exuberant heat damaging yin pattern,热盛伤阴证
Exuberant heat affecting the chest pattern,热实结胸证
Exuberant heat damaging fluids pattern,热盛伤津证
Warm toxin attacking the exterior pattern,温毒袭表证
Retained heat toxin in the skin pattern,热毒蕴肤证
Wind fire/heat toxin pattern,风火熱毒证
Toxin entering the Ying-nutrients blood pattern,毒入营血证
Retained toxin pattern,余毒未清证
Toxic pus pattern,脓毒证
Epidemic toxin blocking the heart spirit pattern,疫毒内闭证
Pathogenic factors hidden in the pleurodiaphragmatic interspace pattern,邪伏膜原证
Wind water pattern,风水证
Residual heat pattern,余热未清证
Interior blockage and exterior collapse pattern,内闭外脱证
Cold phlegm pattern,寒痰证
Heat phlegm pattern,热痰证
Damp phlegm pattern,湿痰证
Wind phlegm pattern,风痰证
Dry phlegm pattern,燥痰证
Phlegm qi stagnation pattern,痰气互结证
Phlegm qi obstructing the diaphragm pattern,痰气阻膈证
Phlegm and blood stasis transformed heat pattern,痰瘀化热证
Phlegm and blood stasis obstructed the diaphragm pattern,痰瘀阻膈证
Intertwined phlegm and blood stasis pattern,痰瘀互结证
Phlegm heat stagnated qi pattern,痰热气滞证
Phlegm fire blocked the heart spirit pattern,痰火闭窍证
Phlegm heat stirring wind pattern,痰热动风证
Phlegm heat affecting the chest pattern,痰热结胸证
Intermingled phlegm and food stagnation pattern,痰食互结证
Retained phlegm nodules pattern,痰核留结证
Blood stasis stirring blood pattern,血瘀动血证
Blood stasis transformed heat pattern,血瘀化热证
Blood stasis induced water retention pattern,血瘀水停证
Stagnant blood obstructed the diaphragm pattern,瘀血阻膈证
Fluids overflowing into the limbs pattern,饮溢四肢证
Water-fluid retention pattern,水饮证
Chest/subcostal fluid retention pattern,饮溢胸胁证
Chest/subcostal stasis pattern,瘀阻胸胁证
Fetal toxin and heat accumulation pattern,胎毒蕴热证
Fear/fright damaging the kidney pattern,惊恐伤肾证
Emotional stagnation pattern,情志郁结证
"Patterns of yīn, yang, qi, blood, bodily fluids, essence and marrow",阴阳气血津液精髓证类
Yang deficiency pattern,阳虚证
Yang depletion pattern,亡阳证
Floating of deficiency yang pattern,虚阳外越证
Yang deficiency induced water retention pattern,阳虚水泛证
Yin deficiency pattern,阴虚证
Yin depletion pattern,亡阴证
Yin deficiency stirring wind pattern,阴虚动风证
Yin fluids deficiency pattern,阴虚津亏证
Yin deficiency-induced internal heat pattern,阴虚内热证
Yin deficiency-induced yang hyperactivity pattern,阴虚阳亢证
Yin and yang deficiency pattern,阴阳两虚证
Yin exhaustion and yang collapse pattern,阴竭阳脱证
Yin deficiency-induced blood dryness pattern,阴虚血燥证
Qi deficiency pattern,气虚证
Qi stagnation pattern,气滞证
Qi counterflow pattern,气逆证
Qi sinking pattern,气陷证
Qi collapse pattern,气脱证
Qi blockage pattern,气闭证
Qi deficiency induced qi stagnation pattern,气虚气滞证
Blood deficiency pattern,血虚证
Blood stasis pattern,血瘀证
Blood heat pattern,血热证
Blood cold pattern,血寒证
Blood dryness pattern,血燥证
Blood collapse pattern,血脱证
Blood deficiency stirring wind pattern,血虚动风证
Blood deficiency-induced wind dryness pattern,血虚风燥证
Blood and fluids deficiency pattern,血虚津亏证
Cold retention with blood deficiency pattern,血虚寒凝证
Qi and blood deficiency pattern,气血两虚证
Blood loss-induced qi collapse pattern,气随血脱证
Qi failing to hold blood pattern,气不摄血证
Qi and yin deficiency pattern,气阴两虚证
Qi stagnation and blood stasis pattern,气滞血瘀证
Qi stagnation with phlegm retention pattern,气滞痰凝证
Qi stagnation with dampness retention pattern,气滞湿阻证
Qi stagnation transformed fire pattern,气郁化火证
Qi stagnation induced water retention pattern,气滞水停证
Qi deficiency induced fever pattern,气虚发热证
Qi deficiency with phlegm retention pattern,气虚痰结证
Qi deficiency with dampness retention pattern,气虚湿困证
Qi deficiency induced blood stasis pattern,气虚血瘀证
Qi deficiency with external contraction pattern,气虚外感证
Blood deficiency induced internal heat pattern,血虚内热证
Fluids deficiency pattern,津液亏虚证
Fluids deficiency with heat accumulation pattern,津亏热结证
Fluids loss pattern,液脱证
Essence and qi deficiency pattern,精气亏虚证
Essence and blood deficiency pattern,精血亏虚证
Marrow deficiency pattern,髓亏证
Patterns of the zang-fu organs and meridians,脏腑经络证类
Patterns of the heart system,心系证类
Heart qi deficiency pattern,心气虚证
Deficiency of heart qi and blood pattern,心气血两虚证
Deficiency of heart qi and yin pattern,心气阴两虚证
Heart yang deficiency pattern,心阳虚证
Sudden collapse of heart yang pattern,心阳暴脱证
Heart blood deficiency pattern,心血虚证
Heart yin deficiency pattern,心阴虚证
Heart vessels stasis pattern,心脉瘀阻证
Phlegm obstructing the heart vessels pattern,痰阻心脉证
Fluid retention affecting the pericardium pattern,饮停心包证
Upward flaming of heart fire pattern,心火上炎证
Heat blocking the pericardium pattern,热闭心包证
Heat disturbing the heart spirit pattern,热扰心神证
Phlegm fire disturbing the heart pattern,痰火扰心证
Phlegm misting the heart pattern,痰蒙心窍证
Blood stasis obstructing the brain collaterals pattern,瘀阻脑络证
Disquieted heart spirit pattern,心神不宁证
Excess heat in the small intestine pattern,小肠实热证
Small intestine qi stagnation pattern,小肠气滞证
Deficiency cold in the small intestine pattern,小肠虚寒证
Patterns of the lung system,肺系证类
Lung qi/yin deficiency pattern,肺气阴两虚证
Lung yang deficiency pattern,肺阳虚证
Lung yin deficiency pattern,肺阴虚证
Lung qi deficiency pattern,肺气虚证
Excess heat in the lung pattern,肺实热证
Lung heat and yin deficiency pattern,肺热阴虚证
Wind heat attacking the lung pattern,风热犯肺证
Phlegm heat accumulating in the lung pattern,痰热壅肺证
Phlegm dampness accumulating in the lung pattern,痰湿蕴肺证
Phlegm and blood stasis obstructing the lung pattern,痰瘀阻肺证
Wind cold attacking the lung pattern,风寒袭肺证
Cold fluids affecting the lung pattern,寒饮伏肺证
Cold phlegm obstructing the lung pattern,寒痰阻肺证
Exterior cold with lung heat pattern,表寒肺热证
Wind dryness damaging the lung pattern,风燥伤肺证
Cool dryness pattern,凉燥证
Warm dryness pattern,温燥证
Lung dryness affecting the large intestine pattern,肺燥肠润证
Stasis obstructing the lung collaterals pattern,瘀阻肺络证
Damp heat in the intestine pattern,肠道湿热证
Deficiency cold in the large intestine pattern,大肠虚寒证
Intestinal dryness pattern,肠燥津亏证
Heat stagnation in the large intestine pattern,大肠热结证
Intestinal dryness due to blood deficiency pattern,血虚肠燥证
Intestinal dryness due to yin deficiency pattern,阴虚肠燥证
Dampness obstructing the large intestine pattern,湿阻肠道证
Cold retention in the stomach and intestines pattern,寒滞胃肠证
Wind damaging intestinal collaterals pattern,肠风伤结证
Patterns of the spleen system,脾系证类
Spleen qi deficiency pattern,脾气虚证
Spleen qi sinking pattern,脾气下陷证
Insecurity of spleen qi pattern,脾气不固证
Spleen failing to control blood pattern,脾不统血证
Spleen deficiency generating wind pattern,脾虚生风证
Spleen yang deficiency pattern,脾阳虚证
Spleen yin deficiency pattern,脾阴虚证
Spleen deficiency with qi stagnation pattern,脾虚气滞证
Spleen deficiency with water retention pattern,脾虚水泛证
Spleen yang deficiency with water retention pattern,脾阳虚水泛证
Spleen deficiency with dampness pattern,脾虚湿困证
Spleen deficiency with damp heat pattern,脾虚湿热证
Spleen deficiency with phlegm dampness pattern,脾虚痰湿证
Spleen deficiency with food retention pattern,脾虚食积证
Spleen deficiency with blood deficiency pattern,脾虚血亏证
Damp heat affecting the spleen pattern,湿热困脾证
Cold dampness affecting the spleen pattern,寒湿困脾证
Worry damaging the spleen pattern,思虑伤脾证
Stomach qi deficiency pattern,胃气虚证
Ascending of stomach qi pattern,胃气上逆证
Heat-induced ascending of stomach qi pattern,胃热气逆证
Cold-induced ascending of stomach qi pattern,胃寒气逆证
Stomach yin deficiency pattern,胃阴虚证
Stomach fire pattern,胃火证
Stomach heat with yin deficiency pattern,胃热阴虚证
Stomach dryness due to loss of fluids pattern,胃燥津亏证
Cold attacking the stomach pattern,寒邪犯胃证
Cold fluids retention in the stomach pattern,寒饮停胃证
Stasis obstructing the stomach collaterals pattern,瘀阻胃络证
Yin deficiency of the spleen and stomach pattern,脾胃阴虚证
Yang deficiency of the spleen and stomach pattern,脾胃阳虚证
Excess heat in the spleen and stomach pattern,脾胃实热证
Damp heat in the spleen and stomach pattern,脾胃湿热证
Dampness affecting the spleen and stomach pattern,湿困脾胃证
Disharmony between the spleen and stomach pattern,脾胃不和证
Damp heat in the stomach and intestines pattern,胃肠湿热证
Excess heat in the stomach and intestines pattern,胃肠实热证
Qi stagnation of the stomach and intestines pattern,胃肠气滞证
Blood stasis in the stomach and intestines pattern,瘀滞胃肠证
Phlegm dampness accumulating in the spleen pattern,痰湿中阻证
Patterns of the liver system,肝系证类
Liver yin deficiency pattern,肝阴虚证
Liver blood deficiency pattern,肝血虚证
Liver qi deficiency pattern,肝气虚证
Hyperactivity of liver yang pattern,肝阳上亢证
Liver qi stagnation pattern,肝郁气滞证
Liver qi stagnation with blood deficiency pattern,肝郁血虚证
Liver qi stagnation with blood stasis pattern,肝郁血瘀证
Liver qi stagnation with yin deficiency pattern,肝郁阴虚证
Liver qi stagnation transforming into heat pattern,肝瘀化热证
Liver blood stasis pattern,肝血瘀滞证
Liver qi stagnation transforming into fire pattern,肝郁化火证
Liver stagnation with phlegm fire pattern,肝郁痰火证
Liver stagnation with phlegm retention pattern,肝瘀痰结证
Upward flaming of liver fire pattern,肝火上炎证
Liver heat stirring wind pattern,肝热动风证
Wind heat affecting the liver meridian pattern,肝经风热证
Damp heat affecting the liver meridian pattern,肝经湿热证
Liver qi stagnation with damp heat retention pattern,肝郁湿热证
Heat toxin affecting the liver pattern,热毒淤肝证
Liver heat with blood stagnation pattern,肝热血瘀证
Liver heat with yin deficiency pattern,肝热阴虚证
Cold retention in the liver meridian pattern,寒滞肝经证
Internal stirring of liver wind pattern,肝风内动证
Liver yang transforming into wind pattern,肝阳化风证
Ascending of liver qi pattern,肝气上逆证
Liver qi affecting the spleen pattern,肝气犯脾证
Gallbladder qi deficiency pattern,胆气虚证
Excess heat in the gallbladder pattern,胆实热证
Gallbladder heat with phlegm disturbance pattern,胆热痰扰证
Gallbladder stagnation with phlegm disturbance pattern,胆郁痰扰证
Parasitic roundworms disturbing the gallbladder pattern,胆腑虫扰证
Damp heat in the liver and gallbladder pattern,肝胆湿热证
Stagnant heat in the gallbladder meridian pattern,胆经郁热证
Patterns of the kidney system,肾系证类
Kidney deficiency pattern,肾虚证
Kidney qi deficiency pattern,肾气虚证
Kidney qi insecurity pattern,肾气不固证
Water retention due to kidney deficiency pattern,肾虚水泛证
Water retention due to kidney qi deficiency pattern,肾气虚水泛证
Kidney failing to absorb qi pattern,肾不纳气证
Kidney yang deficiency pattern,肾阳虚证
Kidney yin deficiency pattern,肾阴虚证
Kidney essence deficiency pattern,肾精亏虚证
Kidney marrow deficiency pattern,肾虚髓亏证
Deficiency of kidney yin and yang pattern,肾阴阳两虚证
Cold dampness due to kidney deficiency pattern,肾虚寒湿证
Damp heat accumulating in the kidney pattern,湿热蕴肾证
Damp heat in the urinary bladder pattern,膀胱湿热证
Heat accumulating in the urinary bladder pattern,膀胱蕴热证
Taiyang water retention pattern,太阳蓄水证
Taiyang blood retention pattern,太阳蓄血证
Deficiency cold of the urinary bladder pattern,膀胱虚寒证
Qi failing to secure the urinary bladder pattern,膀胱失约证
Patterns involving multiple zang–fu organs,脏腑兼证类
Disharmony between the heart and kidney pattern,心肾不交证
Yang deficiency of the heart and kidney pattern,心肾阳虚证
Water retention affecting the heart pattern,水气凌心证
Qi deficiency of the heart and kidney pattern,心肾气虚证
Qi deficiency of the heart and lung pattern,心肺气虚证
Yin deficiency of the heart and lung pattern,心肺阴虚证
Yang deficiency of the heart and lung pattern,心肺阳虚证
Exuberant heat in the heart and lung pattern,心肺热盛证
Deficiency of the heart and spleen pattern,心脾两虚证
Qi deficiency of the heart and spleen pattern,心脾气虚证
Deficiency cold of the heart and spleen pattern,心脾阳虚证
Heat accumulating in the heart and spleen pattern,心脾积热证
Fire hyperactivity of the heart and liver pattern,心肝火旺证
Blood stasis in the heart and liver pattern,心肝血瘀证
Blood deficiency of the heart and liver pattern,心肝血虚证
Yin deficiency of the heart and liver pattern,心肝阴虚证
Qi deficiency of the heart and gallbladder pattern,心胆气虚证
Deficiency of the liver and kidney pattern,肝肾两虚证
Yin deficiency of the liver and kidney pattern,肝肾阴虚证
Deficiency of the liver and spleen pattern,肝脾两虚证
Disharmony between the liver and spleen pattern,肝脾不和证
Liver hyperactivity with spleen deficiency pattern,肝旺脾虚证
Damp heat in the liver and spleen pattern,肝脾湿热证
Qi stagnation of the liver and spleen pattern,肝脾气滞证
Blood stasis of the liver and spleen pattern,肝脾血瘀证
Disharmony between the liver and stomach pattern,肝胃不和证
Exuberant heat in the liver and stomach pattern,肝胃热盛证
Liver fire affecting the stomach pattern,肝火犯胃证
Liver qi affecting the stomach pattern,肝气犯胃证
Yin deficiency of the liver and stomach pattern,肝胃阴虚证
Deficiency cold of the liver and stomach pattern,肝胃虚寒证
Liver fire affecting the lung pattern,肝火犯肺证
Deficiency of the spleen and lung pattern,脾肺两虚证
Yang deficiency of the spleen and kidney pattern,脾肾阳虚证
Qi deficiency of the spleen and kidney pattern,脾肾气虚证
Deficiency of the spleen and kidney pattern,脾肾两虚证
Insecurity of the spleen and kidney pattern,脾肾不固证
Yin deficiency of the lung and kidney pattern,肺肾阴虚证
Qi deficiency of the lung and kidney pattern,肺肾气虚证
Yang deficiency of the lung and kidney pattern,肺肾阳虚证
Wind heat affecting the lung and stomach pattern,肺胃风热证
Fire heat in the lung and stomach pattern,肺胃火热证
Yin deficiency of the lung and stomach pattern,肺胃阴虚证
Lung heat transmitting to the large intestine pattern,肺热移肠证
Toxin entering the heart and liver pattern,毒陷心肝证
Qi stagnation of the liver and large intestine pattern,肝肠气滞证
Patterns involving the essence chamber,精室证类
Phlegm obstructing the essence chamber pattern,痰阻精室证
Stasis obstructing the essence chamber pattern,精室瘀阻证
Patterns involving the uterus,胞宫证类
Phlegm retention in the uterus pattern,痰凝胞宫证
Blood stasis obstructing the uterus pattern,胞宫瘀阻证
Cold retention in the uterus pattern,寒凝胞宫证
Deficiency cold in the uterus pattern,胞宫虚寒证
Damp heat in the uterus pattern,胞宫湿热证
Blood heat in the uterus pattern,胞宫血热证
Disharmony between the Chong and Ren pattern,冲任失调证
Insecurity of the Chong and Ren pattern,冲任不固证
Blood stasis obstructing the Chong and Ren pattern,冲任瘀阻证
Heat entering the blood chamber pattern,热入血室证
Patterns involving the meridians,经络证类
Wind attacking the meridians pattern,风中经络证
Wind phlegm entering the meridians pattern,风痰入络证
Wind heat affecting the meridians pattern,风热阻络证
Cold retention in the meridians pattern,寒滞经络证
Damp heat obstructing the meridians pattern,湿热阻络证
Cold dampness obstructing the meridians pattern,寒湿阻络证
Phlegm-dampness obstructing the meridians pattern,痰湿阻络证
Stasis and heat entering the meridians pattern,瘀热入络证
Stagnant blood obstructing the meridians pattern,瘀血阻络证
Patterns of the twelve regular meridians,十二正经证类
Lung meridian pattern,手太阴肺经证
Large intestine meridian pattern,手阳明大肠经证
Stomach meridian pattern,足阳明胃经证
Spleen meridian pattern,足太阴脾经证
Heart meridian pattern,手少阴心经证
Small intestine meridian pattern,手太阳小肠经证
Bladder meridian pattern,足太阳膀胱经证
Kidney meridian pattern,足少阴肾经证
Sanjiao meridian pattern,手少阳三焦经证
Pericardium meridian pattern,手厥阴心包经证
Gallbladder meridian pattern,足少阳胆经证
Liver meridian pattern,足厥阴肝经证
Patterns of the eight extra meridians,奇经八脉证类
Du meridian pattern,督脉证
Ren meridian pattern,任脉证
Chong meridian pattern,冲脉证
Yinwei meridian pattern,阴维脉证
Yangwei meridian pattern,阳维脉证
Dai meridian pattern,带脉证
Yangqiao meridian pattern,阳跷脉证
Yinqiao meridian pattern,阴跷脉证
Sanjiao patterns,三焦证类
Damp heat affecting the three jiao pattern,湿热弥漫三焦证
Damp heat in the upper jiao pattern,上焦湿热证
Dry heat in the upper jiao pattern,上焦燥热证
Damp heat in the middle jiao pattern,中焦湿热证
Heat accumulating in the middle jiao pattern,中焦积热证
Damp heat in the lower jiao pattern,下焦湿热证
Stasis obstructing the lower jiao pattern,瘀阻下焦证
"Patterns involving the skin, tendons and bones",肌肤筋骨证类
Stasis affecting the skin pattern,瘀滞肌肤证
Heat affecting the bones/joints pattern,热邪阻痹证
Damp heat affecting the bones/joints pattern,湿热阻痹证
Cold dampness affecting the low back pattern,寒湿着腰证
Six meridians patterns,六经证类
Disorders of the six meridians,六经病证
Taiyang pattern,太阳病证
Taiyang meridian pattern,太阳经证
Taiyang wind attack pattern,太阳中风证
Taiyang cold attack pattern,太阳伤寒证
Taiyang-fu organ pattern,太阳腑证
Yangming disorders,阳明病证
Yangming meridian pattern,阳明经证
Excess Yangming-fu organ pattern,阳明腑实证
Shaoyang pattern,少阳病证
Taiyin pattern,太阴病证
Shaoyin pattern,少阴病证
Shaoyin cold transformation pattern,少阴寒化证
Shaoyin heat transformation pattern,少阴热化证
Jueyin pattern,厥阴病证
"Patterns of Wei-defence, qi, Ying nutrients and blood",卫气营血证类
Wei-defence phase pattern,卫分证
Dampness blocking Wei-defensive yang pattern,湿遏卫阳证
Toxin attacking the lung defence,温邪侵袭肺卫证
Qi phase pattern,气分证
Heat entering the qi phase,热入气分证
Damp heat in the qi phase,气分湿热证
Dampness obstructing the qi phase,湿阻气分证
Ying nutrients phase pattern,营分证
Disharmony between the Ying nutrients and Wei-defence pattern,营卫不和证
Heat entering the Ying nutrients phase pattern,热入营分证
Heat entering the Ying nutrients and blood phases pattern,热入营血证
Heat toxin entering the Ying nutrients phase pattern,热毒入营证
Blood phase pattern,血分证
Heat entering the blood phase pattern,热入血分证
Pattern involving both Wei-defence and qi phases,卫气同病证
Heat blazing in both qi and Ying phases pattern,气营两燔证
Heat blazing in both qi and blood phases pattern,气血两燔证
Exuberant heat stirring wind pattern,热盛动风证
Exuberant heat moving blood pattern,热盛动血证
Other patterns,其他证类
Blockage pattern,闭证
Collapse pattern,脱证
2.5 Disorders,2.5疾病
Externally contracted disorders,外感病类
Seasonal disorders,外感时令类病
Common cold,感冒
Seasonal common cold,时行感冒
Summer disorders,暑病
Summer non-acclimatization,疰夏
Summer heat stroke,中暑
Summer heat collapse,暑脱
Summer heat syncope,暑厥
Summer heat convulsion,暑风
Summer heat turbidity,暑秽病
Dampness obstruction,湿阻病
Autumn dryness,秋燥病
Warm dryness,温燥病
Cool dryness,凉燥病
Cold damage,伤寒类病
Epidemic febrile disorders,温疫类病
Warm diseases,温病
Acute warm diseases,新感温病
Latent warm diseases,伏气温病
Epidemic pestilence,疫病
Wind pestilence,风温病
Spring pestilence,春温
Summer heat pestilence,暑温
Dampness pestilence,湿温
Latent summer heat pestilence,伏暑
Winter pestilence,冬温
Wind rashes,风疹
Chicken pox,水痘
Pestilence toxin,瘟毒
Swollen face,大头瘟
Flaccid foot pestilence,软脚瘟
Liver heat disease,肝热病
Liver pestilence,肝瘟
Bumpy sand-like exanthem,痧病
Damp heat dysentery,湿热痢
Epidemic toxin dysentery,疫毒痢
Food-denying dysentery,噤口痢
Cold dampness dysentery,寒湿痢
Intermittent dysentery,休息痢
Critical dysentery,奇恒痢
Miasmatic disorder,瘴病
Malaria,疟疾
Regular malaria,正疟
Miasmic malaria,瘴疟
Chronic malaria,久疟
Mother-of-malaria,疟母
Tuberculosis,痨病
Lung tuberculosis,肺痨
Brain tuberculosis,脑痨
Breast tuberculosis,乳痨
Liver tuberculosis,肝痨
Kidney tuberculosis,肾痨
Urinary bladder tuberculosis,痨淋
Intestinal tuberculosis,肠痨
Flowing phlegm,流痰
Bone phlegm,附骨痰
Tortoise-back phlegm,龟背痰
Deficiency phlegm at Shenshu,肾俞虚痰
Fistula at Shenshu,肾俞漏
Dung beetle-shaped joints,蜣螂蛀
Carbuncle of the wrist,腕疽
Tuberculosis of the knee joint,鹤膝风
Carbuncle of the ankle joint,穿拐痰
Carbuncle of the heel,足跟疽
Bubonic plague,鼠疫
Epidemic cholera,疫霍乱
Dry cholera,干霍乱
Wet cholera,湿霍乱
Measles,麻疹
Ulcerated throat with red exanthem,烂喉丹痧
Diphtheria,白喉
Whooping cough,顿咳
Mumps,痄腮
Epidemic haemorrhagic fever,疫斑热
Leptospirosis,稻瘟病
Scrub typhus,沙虱病
Anthrax,炭疽
Leprosy,麻风病
Smallpox,天花
Sexually transmitted diseases,性传播类病
Syphilis,梅毒
Syphilitic skin lesion,杨梅疮
Advanced syphilis,杨梅结毒
Syphilis affecting the heart,梅毒攻心
Syphilis affecting the spinal cord,梅毒致瘘
Congenital syphilis,胎传梅毒
Chancroid,下疳
Buboes,横痃
Gonorrhea,花柳毒淋
Parasitic diseases,寄生虫病类
Ascariasis,蛔虫病
Taeniasis,绦虫病
Cysticercosis,囊虫病
Ancylostomiasis,钩虫病
Enterobiasis,蛲虫病
Fasciolopsiasis,姜片虫病
Filariasis,丝虫病
Paragonimiasis,肺吸虫病
Trichuriasis,鞭虫病
Fasciolosis,肝吸虫病
Echinococcosis,包虫病
Schistosomiasis,血吸虫病
Advanced schistosomiasis,晚期血吸虫病
Poisoning and accidents/unintentional injuries,中毒及意外伤害类
Drug poisoning,药毒类病
Food poisoning,食毒类病
Fish and crab poisoning,鱼蟹类中毒
Puffer fish poisoning,河豚中毒
Mushroom poisoning,毒蕈中毒
Pickles cyanosis,菜乌紫病
Insect stings,虫螫伤类病
Centipede bite,蜈蚣螫伤
Bee/wasp stings,蜂螫伤
Scorpion sting,蝎螫伤
Spider bites,蜘蛛咬伤
Pine caterpillar injuries,松毛虫伤
Rove beetle injuries,蝮螫伤
Caterpillar stings,射工伤
Leech bites,蚂蟥咬伤
Cutaneous schistosomiasis,水毒
Ancylostoma dermatitis,野屎风
Traumatic injuries,创伤类病
Fracture,骨折病
Dislocation/subluxation,脱位病
Tendon injuries,伤筋病
Tendon dislocation/subluxation,筋出槽
Bone/joint dislocation/subluxation,骨错缝
Neck stiffness,落枕
Cervical spondylosis,项痹
Frozen shoulder,漏肩风
Internal injuries,损伤内证病
Insect or animal bites,虫兽咬伤病
Venomous snake bites,毒蛇咬伤
Rabies,狂犬病
Tetanus,破伤风
Burns and scalds,水火烫伤
Frostbite,冻疮
Systemic hypothermia,冻僵
Sudden death,卒死
Diseases of zang-fu organs and associated meridians,脏腑病及相关病类
Heart system disorders,心系病
Chest bi-impediment / cardiac pain,胸痹心痛
True cardiac pain,真心痛
Sudden cardiac pain,卒心痛
Cardiac pain with cold limbs,厥心痛
Heart bi-impediment,心痹
Heart heat,心瘅
Dizziness due to deficiency,虚眩
Cardiac syncope,心厥
Congestive heart failure,心水病
Fright palpitations,惊悸病
Fearful throbbing,怔忡病
Lily bulb disease,百合病
Insomnia,不寐
Nightmare,梦魇
Hypersomnia,多寐病
Manic depression/bipolar disorder,失志
Dementia,痴呆病
Epilepsy,痫病
Depressive psychosis,癫病
Manic psychosis,狂病
Sexual obsessions,花癫
Paranoia disorders,邪祟病
Liver system diseases,肝系病
Wind dizziness,风眩
Tetany,痉病
Convulsive disorders upon exposure to exogenous pathogens,外感痉病
Convulsions due to deficiency,虚痉
Jaundice,黄疸病
Yang jaundice,阳黄病
Yin jaundice,阴黄病
Haemolytic jaundice,血疸
Favism,蚕豆黄
Liver jaundice,肝黄
